# HDL Coder Industry Standard Report. Manual changes will be over written.
# (C) 2012 The Mathworks, Inc.
# Generated by MATLAB 24.1, HDL Coder 24.1, and Simulink 24.1 on 19-Dec-2024 20:12:54
#
#  -------------------------------------------------------------------

Industry standard report for hdl_model_fixed
Industry Compliance report with 55 errors, 3 warnings, 1 messages.
#  -------------------------------------------------------------------
Report was generated with following customizations
IndustryCustomizations Structure


 AsynchronousResetCheck 
	 Check  rule CGSL-2.C.C.6 

 CascadedConditionalAssignmentCheck 
	 Ignore rule CGSL-2.F.B.1a 

 ConditionalRegionCheck 
	 Check  rule CGSL-2.F.B.1 
	 length = 1 

 DetectDuplicateNamesCheck 
	 Check  rule CGSL-1.A.A.5 

 HDLKeywords 
	 Check  rule CGSL-1.A.A.3 

 IfElseChain 
	 Check  rule CGSL-2.G.C.1c 
	 length = 7 

 IfElseNesting 
	 Check  rule CGSL-2.G.C.1a 
	 depth = 3 

 InitialStatements 
	 Check  rule CGSL-2.C.D.1 

 LineLength 
	 Check  rule CGSL-3.A.D.5 
	 length = 110 

 MinimizeClockEnableCheck 
	 Ignore rule CGSL-2.C.C.4 

 MinimizeVariableUsage 
	 Ignore rule CGSL-2.G 

 ModuleInstanceEntityNameLength 
	 Check  rule CGSL-1.A.B.1 
	 length = [2 32] 

 MultiplierBitWidth 
	 Check  rule CGSL-2.J.F.5 
	 width = 16 

 NonIntegerTypes 
	 Check  rule CGSL-3.B.D.1 

 RemoveResetCheck 
	 Ignore rule CGSL-2.C.C.5 

 SignalPortParamNameLength 
	 Check  rule CGSL-1.A.C.3 
	 length = [2 40] 

 ShowPassingRules 
	 Check  

#  -------------------------------------------------------------------

CGSL-1.A.A.9|warning|Top-level module/entity and port names should be less than or equal to 16 characters in length and not be mixed-case.
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 17 statements in "SDFController" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_CTRL1_3
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 28 statements in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_4/SDFCommutator4
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 2 statements in "SDFOutmux" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_4/SDFCommutator4
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 17 statements in "SDFController" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_CTRL1_4
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 7 statements in "Radix22TwdlMapping" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/TWDLROM_5_1
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 3 statements in "Radix22TwdlOctCorr" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/TWDLROM_5_1
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 28 statements in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_5/SDFCommutator5
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 2 statements in "SDFOutmux" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_5/SDFCommutator5
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 17 statements in "SDFController" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_CTRL1_5
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 28 statements in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_6/SDFCommutator6
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 2 statements in "SDFOutmux" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_6/SDFCommutator6
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 17 statements in "SDFController" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_CTRL1_6
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 7 statements in "Radix22TwdlMapping" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/TWDLROM_7_1
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 3 statements in "Radix22TwdlOctCorr" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/TWDLROM_7_1
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 28 statements in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_7/SDFCommutator7
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 2 statements in "SDFOutmux" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_7/SDFCommutator7
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 17 statements in "SDFController" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_CTRL1_7
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 14 statements in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_8/SDFCommutator8
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 2 statements in "SDFOutmux" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_8/SDFCommutator8
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 17 statements in "SDFController" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_CTRL1_8
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 7 statements in "Radix22TwdlMapping" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/TWDLROM_9_1
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 3 statements in "Radix22TwdlOctCorr" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/TWDLROM_9_1
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 14 statements in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_9/SDFCommutator9
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 2 statements in "SDFOutmux" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_9/SDFCommutator9
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 17 statements in "SDFController" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_CTRL1_9
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 14 statements in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_10/SDFCommutator10
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 2 statements in "SDFOutmux" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_10/SDFCommutator10
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 3 statements in "twoLocationReg_0" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_10
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 17 statements in "SDFController" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_CTRL1_10
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 7 statements in "Radix22TwdlMapping" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/TWDLROM_11_1
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 3 statements in "Radix22TwdlOctCorr" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/TWDLROM_11_1
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 6 statements in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_11/SDFCommutator11
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 2 statements in "SDFOutmux" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_11/SDFCommutator11
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 3 statements in "twoLocationReg_0" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_11
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 10 statements in "SDFController" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_CTRL1_1
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 7 statements in "wrStateMachineBitNatural" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX2FFT_bitNatural
	Error|component|Do not describe more than 1 statement(s) (if/case/while/for/ loop) separately within a single process block, found 7 statements in "rdStateMachineBitNatural" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX2FFT_bitNatural

CGSL-2.G.C.1a|error|Nesting in if-else constructs should not be deeper than the 3 levels.
	Error|component|Nesting in if-else constructs should not be deeper than the 3 levels, in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_1/SDFCommutator1
	Error|component|Nesting in if-else constructs should not be deeper than the 3 levels, in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_2/SDFCommutator2
	Error|component|Nesting in if-else constructs should not be deeper than the 3 levels, in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_3/SDFCommutator3
	Error|component|Nesting in if-else constructs should not be deeper than the 3 levels, in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_4/SDFCommutator4
	Error|component|Nesting in if-else constructs should not be deeper than the 3 levels, in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_5/SDFCommutator5
	Error|component|Nesting in if-else constructs should not be deeper than the 3 levels, in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF2_6/SDFCommutator6
	Error|component|Nesting in if-else constructs should not be deeper than the 3 levels, in "SDFCummutator" block.|hdl_model_fixed/Subsystem1/my_FFT/FFT/RADIX22FFT_SDF1_7/SDFCommutator7
